Starting a Gradle Daemon (subsequent builds will be faster)
> Task :app:generateEffectiveLombokConfig UP-TO-DATE
> Task :app:compileJava UP-TO-DATE
> Task :app:processResources UP-TO-DATE
> Task :app:classes UP-TO-DATE

> Task :app:run
[2024-02-24T14:54:32,679] [INFO] [App]: Will run with args [-z, /Users/geofflittle/Downloads/31747.zip, -t, America/New_York, -o, 31747]
[2024-02-24T14:54:33,006] [INFO] [S3Facade]: Will head bucket transcribe-legal-audio
[2024-02-24T14:54:34,688] [INFO] [S3Facade]: Did head bucket transcribe-legal-audio
[2024-02-24T14:54:34,689] [INFO] [S3Facade]: Bucket is present, transcribe-legal-audio
[2024-02-24T14:54:34,689] [INFO] [PrereqEnsurer]: Bucket transcribe-legal-audio is present
[2024-02-24T14:54:34,769] [INFO] [TranscribeCourtSmartAudioCommand]: Will process CourtSmart zip /Users/geofflittle/Downloads/31747.zip with zone id America/New_York and output dir 31747
[2024-02-24T14:54:34,840] [INFO] [Unzipper]: Found entry Transcription Package 1/autorun.inf
[2024-02-24T14:54:34,842] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i00.ogg
[2024-02-24T14:54:34,857] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i01.ogg
[2024-02-24T14:54:34,866] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i02.ogg
[2024-02-24T14:54:34,890] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i03.ogg
[2024-02-24T14:54:34,905] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i04.ogg
[2024-02-24T14:54:34,914] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i05.ogg
[2024-02-24T14:54:34,922] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i06.ogg
[2024-02-24T14:54:34,930] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i07.ogg
[2024-02-24T14:54:34,947] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i08.ogg
[2024-02-24T14:54:34,957] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i09.ogg
[2024-02-24T14:54:34,965] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i0a.ogg
[2024-02-24T14:54:34,973] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i0b.ogg
[2024-02-24T14:54:34,987] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i0c.ogg
[2024-02-24T14:54:34,998] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i0d.ogg
[2024-02-24T14:54:35,006] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i0e.ogg
[2024-02-24T14:54:35,014] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i0f.ogg
[2024-02-24T14:54:35,024] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i0g.ogg
[2024-02-24T14:54:35,037] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i0h.ogg
[2024-02-24T14:54:35,044] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i0i.ogg
[2024-02-24T14:54:35,052] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i0j.ogg
[2024-02-24T14:54:35,062] [INFO] [Unzipper]: Found entry Transcription Package 1/00000000/s9630i0k.ogg
[2024-02-24T14:54:35,071] [INFO] [Unzipper]: Found entry Transcription Package 1/00000001/s95rde00.ogg
[2024-02-24T14:54:35,079] [INFO] [Unzipper]: Found entry Transcription Package 1/00000001/s95rde01.ogg
[2024-02-24T14:54:35,087] [INFO] [Unzipper]: Found entry Transcription Package 1/00000001/s95rde02.ogg
[2024-02-24T14:54:35,094] [INFO] [Unzipper]: Found entry Transcription Package 1/00000001/s95rde03.ogg
[2024-02-24T14:54:35,107] [INFO] [Unzipper]: Found entry Transcription Package 1/00000001/s95rde04.ogg
[2024-02-24T14:54:35,120] [INFO] [Unzipper]: Found entry Transcription Package 1/00000001/s95rde05.ogg
[2024-02-24T14:54:35,130] [INFO] [Unzipper]: Found entry Transcription Package 1/00000001/s95rde06.ogg
[2024-02-24T14:54:35,141] [INFO] [Unzipper]: Found entry Transcription Package 1/00000001/s95rde07.ogg
[2024-02-24T14:54:35,152] [INFO] [Unzipper]: Found entry Transcription Package 1/00000001/s95rde08.ogg
[2024-02-24T14:54:35,160] [INFO] [Unzipper]: Found entry Transcription Package 1/00000001/s95rde09.ogg
[2024-02-24T14:54:35,168] [INFO] [Unzipper]: Found entry Transcription Package 1/00000001/s95rde0a.ogg
[2024-02-24T14:54:35,177] [INFO] [Unzipper]: Found entry Transcription Package 1/00000001/s95rde0b.ogg
[2024-02-24T14:54:35,183] [INFO] [Unzipper]: Found entry Transcription Package 1/00000002/s97l7600.ogg
